                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    290,                0.00059,                      1,                      1,                0.55176,             0.00030543,             0.00030543,             0.00030543
                    291,                0.00056,                      1,                      1,                0.55192,             0.00030402,             0.00030402,             0.00030402
                    292,                0.00058,                      1,                      1,                0.55176,             0.00030261,             0.00030261,             0.00030261
                    293,                0.00059,                      1,                      1,                0.55176,             0.00030119,             0.00030119,             0.00030119
                    294,                0.00048,                      1,                      1,                 0.5516,             0.00029978,             0.00029978,             0.00029978
                    295,                0.00058,                      1,                      1,                 0.5516,             0.00029837,             0.00029837,             0.00029837
                    296,                0.00075,                      1,                      1,                 0.5516,             0.00029695,             0.00029695,             0.00029695
                    297,                0.00053,                      1,                      1,                 0.5516,             0.00029554,             0.00029554,             0.00029554
                    298,                0.00062,                      1,                      1,                 0.5516,             0.00029413,             0.00029413,             0.00029413
                    299,                0.00064,                      1,                      1,                 0.5516,             0.00029271,             0.00029271,             0.00029271
                    300,                0.00079,                      1,                      1,                 0.5516,              0.0002913,              0.0002913,              0.0002913
